control_pose:[0, 0, 0, 0, 0, 0, 0,]
ATTACH_OF:[0.430384231, -0.30299963, 2.24679725, -1.94380809, -1.1404121, 3.14159265]
PRE_ATTACH_OF:[0.430384231, -0.0493921197, 2.04465322, -1.9952604, -1.1404121, 3.14159265]
PRE_OF_1_UNTIGHTENED:[0.47172942757606506, -1.187561337147848, 1.5113859176635742, 1.2485429048538208, -1.5618355909930628, 3.14159265]
OF_1_TIGHTENED:[0.4716571569442749, -1.2069161573993128, 1.4626951217651367, 1.3166199922561646, -1.562171761189596, 0.6051022410392761]
PRE_OF_2_UNTIGHTENED:[0.40008997917175293, -1.0357564131366175, 1.278336524963379, 1.3280595541000366, -1.5612967650042933, -3.14159265]
OF_2_TIGHTENED:[0.40016189217567444, -1.0482600370990198, 1.2359857559204102, 1.3828750848770142, -1.561500374470846, 2.4674112796783447]
HomeJOINTPose:[0.8492594957351685, 0.013160228729248047, 1.1464190483093262, -1.1650527159320276, 0.7387031316757202, -1.350863281880514]
PreHomeJOINTPose:[0.8324329257011414, 0.5406302213668823, -1.906015698109762, -0.2643502394305628, 1.6102402210235596, -0.1498802343951624]
PreAttachAtlasFarJOINTPose:[0.08005275577306747, -0.09790021577943975, 1.3764376640319824, 1.7152074575424194, -1.6239331404315394, 0.36349916458129883]
PreAttachLFToolFarJOINTPose:[0.48709583282470703, -0.4043362776385706, 1.8112993240356445, -1.4140384832965296, -1.0778668562518519, 0.41233524680137634]
PreAttachOFToolFarJOINTPose:[0.30180624127388, -0.37626773515810186, 2.060617446899414, -1.704867188130514, -1.2735651175128382, 0.41501858830451965]
AboveEngineJOINTPose:[0.08036433905363083, -1.4317691961871546, 2.296618700027466, 2.2488040924072266, -1.664436165486471, 0.36170265078544617]
PreFindEngineJOINTPose:[0.045610461384058, -1.7011755148517054, 1.6724138259887695, -3.188571278248922, 1.467016339302063, 0.32854679226875305]
FindEngineRightUpJOINTPose:[0.7311691641807556, -1.1983607451068323, 1.1075925827026367, -3.0703700224505823, 2.441229820251465, 0.41306591033935547]
FindEngineLeftUpJOINTPose:[-0.4624560515033167, -1.0342209974872034, 0.8818979263305664, -2.8513134161578577, 0.4796641170978546, 1.461244821548462]
FindEngineMidUpJOINTPose:[-0.06745511690248662, -2.8873093763934534, 2.1933436393737793, -2.5130417982684534, -1.5144537130938929, 1.4326841831207275]
LFOperationMidpoint1JOINTPose:[0.41999128460884094, 0.1648104190826416, 1.1107091903686523, -1.2837541739093226, -1.2063325087176722, 0.48322567343711853]
LFOperationMidpoint2JOINTPose:[-0.2440126577960413, 0.2491534948348999, 1.2506699562072754, -1.5690816084491175, -1.8519170920001429, 0.4272848069667816]
LFOperationMidpoint3JOINTPose:[-1.3039653936969202, 0.11497437953948975, 0.14282608032226562, -0.4018920103656214, 3.024214029312134, -1.2089689413653772]
LFOperationMidpoint4JOINTPose:[-2.557596508656637, 0.11800789833068848, -0.032685105000631154, -0.8492801825152796, 1.3278743028640747, -0.08603126207460576]
LFOperationMidpoint5JOINTPose:[-2.6127448717700403, 0.18079030513763428, -1.8194859663592737, 0.09791183471679688, 1.534314513206482, -0.23677331606020147]
AfterLFOperationJOINTPose:[0.18237031996250153, 0.3903089761734009, -1.5529182592975062, -0.4450719992267054, 1.6995275020599365, -1.2665088812457483]
OFMidpoint1JOINTPose:[0.35248976945877075, -0.38250524202455694, 2.0415005683898926, 0.6728662252426147, -0.8877318541156214, 0.4149826467037201]
OFMidpoint2JOINTPose:[0.41940370202064514, -0.8982942740069788, 1.4213886260986328, 1.0498987436294556, -1.5416081587420862, 0.4149826467037201]
AboveUntightenedOF1JOINTPose:[0.47172942757606506, -1.187561337147848, 1.5113859176635742, 1.2485429048538208, -1.5618355909930628, -5.71590227285494]
AtUntightenedOF1JOINTPose:[0.4717414379119873, -1.2069280783282679, 1.4626832008361816, 1.316667914390564, -1.5620277563678187, -5.716369632874624]
AtTightenedOF1JOINTPose:[0.4716571569442749, -1.2069161573993128, 1.4626951217651367, 1.3166199922561646, -1.562171761189596, 0.6051022410392761]
AboveTightenedOF1JOINTPose:[0.47168150544166565, -1.1898048559771937, 1.5067229270935059, 1.2552989721298218, -1.5617640654193323, 0.605629563331604]
AboveUntightenedOF2JOINTPose:[0.40008997917175293, -1.0357564131366175, 1.278336524963379, 1.3280595541000366, -1.5612967650042933, -3.849708143864767]
AtUntightenedOF2JOINTPose:[0.4001499116420746, -1.0482481161700647, 1.2359981536865234, 1.3829470872879028, -1.561512295399801, -3.850152079259054]
AtTightenedOF2JOINTPose:[0.40016189217567444, -1.0482600370990198, 1.2359857559204102, 1.3828750848770142, -1.561500374470846, 2.4674112796783447]
AboveTightenedOF2JOINTPose:[0.4001499116420746, -1.0345085302936, 1.2821359634399414, 1.3229809999465942, -1.5613206068622034, 2.4680707454681396]
AboveEngineTCPPose:[0.0202722679823637, -1.2807987372027796, 1.5678781270980835, 2.8274295330047607, -1.6033642927752894, -0.029157463704244435]
